dataset,model,variant,mode,tiles_per_image,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,fps,image_count,iterations,sweep_order,concurrent_util_median_pct
ships,yolov8m_ships,native640,native,1.0,19.396490522194654,35.57524390207955,12.941186898387969,15.14787670457735,51.55571822932291,100,100,interleaved,56.5
ships,yolov8m_ships,native1024,native,1.0,30.654735879506916,32.30779518390275,25.686026085168123,28.091396857053038,32.621386918179674,100,100,interleaved,56.5
ships,yolov8m_ships,tile512_ov10,sliced,1.63,25.79871901543811,44.85557015623268,11.424686992540956,196.8786648591049,38.7616144585161,100,100,interleaved,56.5
ships,yolov8m_ships,tile512_ov20,sliced,1.63,17.955939322710037,29.718234519163822,10.14693861361593,27.862402028404176,55.691878994892534,100,100,interleaved,56.5
ships,yolov8m_ships,tile640_ov20,sliced,1.27,23.112442877609283,39.816369669245105,13.720288057811558,41.22929634759202,43.26673754459652,100,100,interleaved,56.5
ships,yolo11m_ships,native640,native,1.0,16.224899601656944,19.80302818142522,13.719772454351187,17.1276701730676,61.633663353940044,100,100,interleaved,56.5
ships,yolo11m_ships,native1024,native,1.0,36.25662019243464,39.00011150623541,28.119559050537646,33.04542975965887,27.58116985787499,100,100,interleaved,56.5
ships,yolo11m_ships,tile512_ov10,sliced,1.63,24.669591255951673,35.93286790479339,14.31412948295474,31.5048164105974,40.53573444427234,100,100,interleaved,56.5
ships,yolo11m_ships,tile512_ov20,sliced,1.63,20.47428617719561,28.004515914970256,13.340554083697498,30.92600575182587,48.841751616904055,100,100,interleaved,56.5
ships,yolo11m_ships,tile640_ov20,sliced,1.27,22.951341287698597,34.73572254152142,14.314724481664598,43.720387667417526,43.570438322747506,100,100,interleaved,56.5
ships,yolo26m_ships,native640,native,1.0,22.777871044818312,40.97404854954687,13.95374140702188,20.288684859406185,43.90225925997978,100,100,interleaved,56.5
ships,yolo26m_ships,native1024,native,1.0,34.538031939882785,36.31304100875127,27.975833509117365,32.043416786473244,28.953589531117732,100,100,interleaved,56.5
ships,yolo26m_ships,tile512_ov10,sliced,1.63,21.43634543288499,30.96399754763634,13.844136497937143,29.751991818193346,46.649742752602016,100,100,interleaved,56.5
ships,yolo26m_ships,tile512_ov20,sliced,1.63,26.4381120656617,45.531461115317086,13.111102511174977,39.12446593167209,37.82418341810489,100,100,interleaved,56.5
ships,yolo26m_ships,tile640_ov20,sliced,1.27,22.979234063532203,59.2773930278937,13.934481074102223,42.3894168343395,43.51755142208979,100,100,interleaved,56.5
