model,variant,class_id,class_name,ap50_95,ap50
yolo11m_dota,native1024,0,plane,0.463197069355852,0.6586617276868945
yolo11m_dota,native1024,1,ship,0.4937036571951045,0.756975346452954
yolo11m_dota,native1024,2,storage tank,0.23696563487306585,0.40794987829813667
yolo11m_dota,native1024,3,baseball diamond,0.28842999306802714,0.42067506209581124
yolo11m_dota,native1024,4,tennis court,0.8446063384347186,0.9003833614649178
yolo11m_dota,native1024,5,basketball court,0.39239272971877664,0.4556595185906745
yolo11m_dota,native1024,6,ground track field,0.27105321572591157,0.3764955870023015
yolo11m_dota,native1024,7,harbor,0.406301742711016,0.6839523263586433
yolo11m_dota,native1024,8,bridge,0.10623316729657249,0.22597727120568564
yolo11m_dota,native1024,9,large vehicle,0.5431247119911659,0.6907826613201731
yolo11m_dota,native1024,10,small vehicle,0.142192389125694,0.2579199049962507
yolo11m_dota,native1024,11,helicopter,0.16083433370809608,0.3331329561527581
yolo11m_dota,native1024,12,roundabout,0.13764976751725203,0.19376841530306876
yolo11m_dota,native1024,13,soccer ball field,0.30684084995963384,0.3575586761219733
yolo11m_dota,native1024,14,swimming pool,0.17620868885730934,0.37210853797349003
yolo11m_dota,native1024,15,container crane,0.0,0.0
yolo11m_dota,native1536,0,plane,0.5719263596267982,0.7586022247282594
yolo11m_dota,native1536,1,ship,0.6102038901934043,0.8501922455639618
yolo11m_dota,native1536,2,storage tank,0.35068291202474045,0.5475930112814995
yolo11m_dota,native1536,3,baseball diamond,0.3773097196815084,0.5823817295897309
yolo11m_dota,native1536,4,tennis court,0.8587018927562955,0.9104992644709031
yolo11m_dota,native1536,5,basketball court,0.466757312510478,0.5707450702081414
yolo11m_dota,native1536,6,ground track field,0.354531933206936,0.5219076928341988
yolo11m_dota,native1536,7,harbor,0.5007555928654751,0.8037901325583492
yolo11m_dota,native1536,8,bridge,0.1622372243041135,0.3318808500487043
yolo11m_dota,native1536,9,large vehicle,0.5686544227270869,0.7193605334564308
yolo11m_dota,native1536,10,small vehicle,0.19832698184709865,0.37137000513584995
yolo11m_dota,native1536,11,helicopter,0.2414185695262781,0.4526742147899001
yolo11m_dota,native1536,12,roundabout,0.22746210475599415,0.3540129582620798
yolo11m_dota,native1536,13,soccer ball field,0.33429902973067704,0.39373431310168194
yolo11m_dota,native1536,14,swimming pool,0.24399416499017504,0.49685198636476047
yolo11m_dota,native1536,15,container crane,0.0,0.0
yolo11m_dota,native640,0,plane,0.2804019485272696,0.41820817241978964
yolo11m_dota,native640,1,ship,0.3108785249254817,0.5519820959775943
yolo11m_dota,native640,2,storage tank,0.1328200052748154,0.24892763868088805
yolo11m_dota,native640,3,baseball diamond,0.2324755407808714,0.33471556883555614
yolo11m_dota,native640,4,tennis court,0.7784098240864102,0.8503170892617797
yolo11m_dota,native640,5,basketball court,0.33435134972639624,0.3957902194887971
yolo11m_dota,native640,6,ground track field,0.21305448833854285,0.284418388061364
yolo11m_dota,native640,7,harbor,0.2635831640096717,0.4727536856332825
yolo11m_dota,native640,8,bridge,0.04898011189149043,0.10584900988375498
yolo11m_dota,native640,9,large vehicle,0.480192902812986,0.641973725410087
yolo11m_dota,native640,10,small vehicle,0.09294653198745659,0.17917307623407042
yolo11m_dota,native640,11,helicopter,0.05993399339933994,0.13800590585374328
yolo11m_dota,native640,12,roundabout,0.07647728819704713,0.09353924522887071
yolo11m_dota,native640,13,soccer ball field,0.2508273003836801,0.3026970129849572
yolo11m_dota,native640,14,swimming pool,0.09008801663235869,0.1682362448255132
yolo11m_dota,native640,15,container crane,0.0,0.0
yolo11m_dota,tile1024_ov10,0,plane,0.6759305481885309,0.8957670377642948
yolo11m_dota,tile1024_ov10,1,ship,0.6852129466033378,0.9134100934102808
yolo11m_dota,tile1024_ov10,2,storage tank,0.5018606240731561,0.72711683193154
yolo11m_dota,tile1024_ov10,3,baseball diamond,0.48556147427623747,0.7653562981953546
yolo11m_dota,tile1024_ov10,4,tennis court,0.8694261863524617,0.9280623088757254
yolo11m_dota,tile1024_ov10,5,basketball court,0.5323141702380495,0.6217339151073765
yolo11m_dota,tile1024_ov10,6,ground track field,0.3928764870747149,0.6178210000935216
yolo11m_dota,tile1024_ov10,7,harbor,0.5171523579315681,0.8108903318724276
yolo11m_dota,tile1024_ov10,8,bridge,0.2645930372964378,0.5069131624403128
yolo11m_dota,tile1024_ov10,9,large vehicle,0.6031131751887593,0.7652741446627955
yolo11m_dota,tile1024_ov10,10,small vehicle,0.36391864084608977,0.696126971869089
yolo11m_dota,tile1024_ov10,11,helicopter,0.30575921861597744,0.5927719347233543
yolo11m_dota,tile1024_ov10,12,roundabout,0.42855820597878974,0.6732880508018061
