dataset,model,variant,kind,imgsz,map50,map50_95,ap_small,ap_medium,ap_large,ar_max,ar_small,ar_medium,ar_large,precision,recall,f1,max_dets,tiles_per_image,mean_dets_per_image_merged,duplicate_box_rate,n_detections
dota,yolo11m_dota,native1024,native,1024,0.4432500769389834,0.31060839309613725,0.11443433224565089,0.29637848786631166,0.49009193139146295,0.3397832643259052,0.13073122436965803,0.3268198964607295,0.5381319946381933,0.7727120262146193,0.43050384532451663,0.5529440002954156,10000,1.0,84.62227074235808,0.0,38757
dota,yolo11m_dota,native1536,native,1536,0.5415997645246531,0.3792038819216912,0.16980378014315545,0.3864737568972813,0.5262206419963863,0.4210328603131449,0.19324373240474668,0.43190659241350493,0.576433971218328,0.7548952869098626,0.541996693739668,0.6309712076712605,10000,1.0,109.0524017467249,0.0,49946
dota,yolo11m_dota,native640,native,640,0.32416169242375303,0.22783881193586364,0.07232092432819652,0.2068186161416456,0.4053989547950028,0.24785574731807758,0.08034344138674675,0.22624805524842478,0.44434971499297476,0.7274321641297155,0.31600661252066414,0.44060730570727064,10000,1.0,65.9825327510917,0.0,30220
dota,yolo11m_dota,tile1024_ov10,sliced,,0.6666441636940273,0.45610460346698334,0.31771644696335377,0.5043824416525463,0.5225681938299784,0.5494926879021514,0.4029058516211518,0.5866853773126162,0.5979691337859427,0.6553893610883025,0.8490620283188385,0.7397596548247509,10000,10.674672489082969,196.77292576419214,0.3572447436738653,90122
dota,yolo11m_dota,tile1024_ov20,sliced,,0.672553026012544,0.461110131937423,0.32723521786361837,0.5094527123236035,0.5208435058360031,0.5553540607885724,0.40534885135042087,0.5880908057997847,0.5993152477494534,0.6484512332266975,0.8537482929634155,0.7370713727242265,10000,11.62227074235808,199.9759825327511,0.4177986841687061,91589
dota,yolo11m_dota,tile512_ov10,sliced,,0.6129767108523508,0.38623638189314585,0.29770844728639734,0.4741472876328724,0.39058430800880667,0.5194122867571779,0.4159822088617438,0.5878737162373584,0.5014759392192351,0.6089975122565603,0.841040753252354,0.7064527035185588,10000,36.995633187772924,209.76200873362444,0.26292005524014117,96071
dota,yolo11m_dota,tile512_ov20,sliced,,0.607266070941149,0.39117304199344743,0.3018240810582999,0.46932735111582535,0.4197700093789218,0.5301701512995587,0.41674376674429275,0.5873918796499471,0.5378542367288214,0.5950187856017453,0.8468913965356142,0.6989565599103081,10000,44.71615720524017,216.18340611353713,0.3706851073837021,99012
dota,yolo11m_dota,tile640_ov10,sliced,,0.63448695018536,0.4073081396984265,0.3132766733813344,0.48376095304916183,0.4294540199941429,0.5260739172282799,0.4137094605427405,0.5853689091621893,0.5350794193784306,0.6321710150242135,0.8425645080140876,0.7223598427428797,10000,23.768558951965066,202.43886462882097,0.2942085471126471,92717
dota,yolo11m_dota,tile640_ov20,sliced,,0.6387008993943947,0.4175752723156714,0.3121986633554127,0.4865135199675589,0.45180150399528274,0.5361951374783275,0.41177449918864883,0.584690354116923,0.5599643930027041,0.6220024930806448,0.8464026450082657,0.7170562696755101,10000,29.096069868995635,206.68558951965065,0.4002736914129319,94662
dota,yolo26m_dota,native1024,native,1024,0.439163375410797,0.3083536912436731,0.11799572383121938,0.2986278197685424,0.47745213601485353,0.3390318252529252,0.13277700817595128,0.33050759738410457,0.5277652314213281,0.7620251282432533,0.44203263135197296,0.5595079968703943,10000,1.0,88.10698689956332,0.0,40353
