model,variant,class_id,class_name,ap50_95,ap50
yolo11m_ships,native1024,0,ship,0.2623685473234351,0.44150753405747345
yolo11m_ships,native640,0,ship,0.27881818993210344,0.4290505492343318
yolo11m_ships,tile512_ov10,0,ship,0.24421851660109756,0.40034102596356097
yolo11m_ships,tile512_ov20,0,ship,0.24409702316683074,0.3999938014343603
yolo11m_ships,tile640_ov20,0,ship,0.27748112758324905,0.43519214038952364
yolo26m_ships,native1024,0,ship,0.26128684568731136,0.45321047145170196
yolo26m_ships,native640,0,ship,0.2779443146410487,0.4462483256202274
yolo26m_ships,tile512_ov10,0,ship,0.23633923544188928,0.3987290587582419
yolo26m_ships,tile512_ov20,0,ship,0.23627411885659153,0.3985139763777633
yolo26m_ships,tile640_ov20,0,ship,0.27804110538770904,0.4490562595265799
yolov8m_ships,native1024,0,ship,0.25113535543244203,0.41981204998288596
yolov8m_ships,native640,0,ship,0.26988535738662267,0.4170886419727942
yolov8m_ships,tile512_ov10,0,ship,0.23644956523660993,0.3904855878954104
yolov8m_ships,tile512_ov20,0,ship,0.23633065390919264,0.39028353612821554
yolov8m_ships,tile640_ov20,0,ship,0.2687178091421548,0.41554496893479986
