dataset,model,variant,kind,imgsz,map50,map50_95,ap_small,ap_medium,ap_large,ar_max,ar_small,ar_medium,ar_large,precision,recall,f1,max_dets,tiles_per_image,mean_dets_per_image_merged,duplicate_box_rate,n_detections
ships,yolo11m_ships,native1024,native,1024,0.44150753405747345,0.2623685473234351,0.13014155709880695,0.48098042165958155,0.5432951318670511,0.32077502691065657,0.20137152077450585,0.5297442799461642,0.605668016194332,0.6145269194010832,0.5191065662002153,0.5628008752735231,10000,1.0,1.4498845265588916,0.0,3139
ships,yolo11m_ships,native640,native,640,0.4290505492343318,0.27881818993210344,0.11147122321410681,0.4863427341133182,0.70039216345719,0.32074811625403654,0.1719241629689391,0.536742934051144,0.7427125506072875,0.6242997198879552,0.47981700753498385,0.5426049908703591,10000,1.0,1.3191685912240185,0.0,2856
ships,yolo11m_ships,tile512_ov10,sliced,,0.40034102596356097,0.24421851660109756,0.09256077786054549,0.4614734714617436,0.6184960325621167,0.29332615715823473,0.14626865671641792,0.5181695827725437,0.6931174089068826,0.6108088501994922,0.45317545748116256,0.520315155260312,10000,1.702540415704388,1.2734411085450346,0.38542131074453856,2757
ships,yolo11m_ships,tile512_ov20,sliced,,0.3999938014343603,0.24409702316683074,0.09243685989128572,0.46118395814446445,0.6184960325621167,0.29329924650161465,0.14626865671641792,0.5180349932705248,0.6931174089068826,0.6086799276672694,0.45290635091496234,0.5193642956333899,10000,1.7057736720554273,1.2771362586605082,0.3852823477100934,2765
ships,yolo11m_ships,tile640_ov20,sliced,,0.43519214038952364,0.27748112758324905,0.10929079386008624,0.4805410539637021,0.7063725265981949,0.32015608180839605,0.1708753529649052,0.5318977119784656,0.7508097165991903,0.6336528221512248,0.4803552206673843,0.5464564518597887,10000,1.2392609699769053,1.3011547344110854,0.12542688606022975,2817
ships,yolo26m_ships,native1024,native,1024,0.45321047145170196,0.26128684568731136,0.12657405198335459,0.4496971821514948,0.5609121282327615,0.31797631862217435,0.20237999193223072,0.5029609690444146,0.6198380566801619,0.622792937399679,0.5220667384284177,0.5679988288683941,10000,1.0,1.4387990762124712,0.0,3115
ships,yolo26m_ships,native640,native,640,0.4462483256202274,0.2779443146410487,0.12188861669907372,0.4709961361043677,0.6633766737164075,0.323708288482239,0.18555869302137956,0.5240915208613729,0.715587044534413,0.647370278856336,0.49354144241119485,0.5600855092380517,10000,1.0,1.3085450346420324,0.0,2833
ships,yolo26m_ships,tile512_ov10,sliced,,0.3987290587582419,0.23633923544188928,0.0957521595831648,0.45379877791783063,0.5595050841822399,0.2949407965554359,0.1526018555869302,0.5164199192462988,0.6761133603238867,0.6482889733840305,0.45882669537136705,0.5373463599117554,10000,1.702540415704388,1.2147806004618937,0.36763645106996873,2630
ships,yolo26m_ships,tile512_ov20,sliced,,0.3985139763777633,0.23627411885659153,0.09557764591007867,0.45394411130875756,0.5595017802660373,0.2949407965554359,0.1526018555869302,0.5164199192462988,0.6761133603238867,0.6470588235294118,0.45882669537136705,0.5369233191623367,10000,1.7057736720554273,1.2170900692840647,0.367195004803074,2635
ships,yolo26m_ships,tile640_ov20,sliced,,0.4490562595265799,0.27804110538770904,0.12132174997346637,0.46585093650572607,0.6660543917002136,0.32142088266953717,0.1833400564743848,0.5195154777927322,0.7163967611336032,0.6650909090909091,0.49219590958019377,0.5657284256108877,10000,1.2392609699769053,1.2702078521939955,0.09776902887139108,2750
ships,yolov8m_ships,native1024,native,1024,0.41981204998288596,0.25113535543244203,0.12046594563203036,0.4638649243300315,0.5385747401184438,0.30336383207750267,0.181968535699879,0.5123822341857335,0.5981781376518218,0.6154905335628227,0.48116254036598494,0.5400996828273674,10000,1.0,1.3418013856812934,0.0,2905
ships,yolov8m_ships,native640,native,640,0.4170886419727942,0.26988535738662267,0.10493494118723498,0.47868679715833495,0.6915761672065597,0.30783100107642625,0.1564340459862848,0.5279946164199193,0.7364372469635627,0.6386491557223265,0.4580193756727664,0.5334587055320482,10000,1.0,1.2309468822170901,0.0,2665
ships,yolov8m_ships,tile512_ov10,sliced,,0.3904855878954104,0.23644956523660993,0.09288527548890914,0.46522232239711864,0.5768407060103363,0.2909580193756728,0.14421137555465913,0.5189771197846568,0.684412955465587,0.6198130841121495,0.4461786867599569,0.518854639336567,10000,1.702540415704388,1.2355658198614319,0.37368297822524,2675
ships,yolov8m_ships,tile512_ov20,sliced,,0.39028353612821554,0.23633065390919264,0.0925815270575106,0.4650599336324315,0.5769296714491643,0.29098493003229275,0.14421137555465913,0.5191117092866756,0.684412955465587,0.6188876446435237,0.4461786867599569,0.5185301016419077,10000,1.7057736720554273,1.2374133949191686,0.3737727910238429,2679
ships,yolov8m_ships,tile640_ov20,sliced,,0.41554496893479986,0.2687178091421548,0.10294778952226125,0.47515279005360067,0.6898320806783035,0.3072120559741658,0.15599031867688581,0.5259757738896366,0.7370445344129555,0.6421845574387948,0.45882669537136705,0.5352377962643227,10000,1.2392609699769053,1.2263279445727482,0.11529490169943352,2655
