Model,Variant,mAP@50,mAP@[50:95],AP$_S$,AP$_M$,AP$_L$,R,F1,Tiles,Latency (ms),FPS,Dup
yolo11m_dota,native1024,0.443,0.311,0.114,0.296,0.490,0.431,0.553,1.0,106.2,9.4,0.000
yolo11m_dota,native1536,0.542,0.379,0.170,0.386,0.526,0.542,0.631,1.0,128.9,7.8,0.000
yolo11m_dota,native640,0.324,0.228,0.072,0.207,0.405,0.316,0.441,1.0,67.6,14.8,0.000
yolo11m_dota,tile1024_ov10,0.667,0.456,0.318,0.504,0.523,0.849,0.740,10.7,173.2,5.8,0.357
yolo11m_dota,tile1024_ov20,0.673,0.461,0.327,0.509,0.521,0.854,0.737,11.6,172.5,5.8,0.418
yolo11m_dota,tile512_ov10,0.613,0.386,0.298,0.474,0.391,0.841,0.706,37.0,403.8,2.5,0.263
yolo11m_dota,tile512_ov20,0.607,0.391,0.302,0.469,0.420,0.847,0.699,44.7,300.0,3.3,0.371
yolo11m_dota,tile640_ov10,0.634,0.407,0.313,0.484,0.429,0.843,0.722,23.8,144.7,6.9,0.294
yolo11m_dota,tile640_ov20,0.639,0.418,0.312,0.487,0.452,0.846,0.717,29.1,166.9,6.0,0.400
yolo26m_dota,native1024,0.439,0.308,0.118,0.299,0.477,0.442,0.560,1.0,30.4,32.9,0.000
yolo26m_dota,native1536,0.533,0.372,0.174,0.380,0.508,0.559,0.644,1.0,60.7,16.5,0.000
yolo26m_dota,native640,0.328,0.229,0.079,0.204,0.408,0.326,0.452,1.0,22.7,44.1,0.000
yolo26m_dota,tile1024_ov10,0.656,0.450,0.311,0.491,0.504,0.841,0.749,10.7,152.3,6.6,0.371
yolo26m_dota,tile1024_ov20,0.652,0.447,0.312,0.489,0.504,0.846,0.747,11.6,169.2,5.9,0.430
yolo26m_dota,tile512_ov10,0.605,0.380,0.288,0.462,0.378,0.834,0.716,37.0,155.6,6.4,0.278
yolo26m_dota,tile512_ov20,0.597,0.387,0.288,0.463,0.393,0.844,0.712,44.7,159.3,6.3,0.382
yolo26m_dota,tile640_ov10,0.618,0.404,0.309,0.478,0.421,0.836,0.731,23.8,142.6,7.0,0.307
yolo26m_dota,tile640_ov20,0.622,0.412,0.309,0.479,0.431,0.840,0.728,29.1,159.3,6.3,0.412
yolov8m_dota,native1024,0.440,0.305,0.119,0.289,0.484,0.423,0.548,1.0,87.2,11.5,0.000
yolov8m_dota,native1536,0.534,0.369,0.157,0.372,0.523,0.534,0.629,1.0,123.6,8.1,0.000
yolov8m_dota,native640,0.320,0.221,0.065,0.195,0.386,0.306,0.430,1.0,58.0,17.2,0.000
yolov8m_dota,tile1024_ov10,0.667,0.451,0.306,0.488,0.515,0.827,0.731,10.7,416.9,2.4,0.356
yolov8m_dota,tile1024_ov20,0.670,0.455,0.310,0.493,0.509,0.833,0.730,11.6,352.7,2.8,0.418
yolov8m_dota,tile512_ov10,0.607,0.374,0.289,0.454,0.372,0.824,0.703,37.0,400.1,2.5,0.261
yolov8m_dota,tile512_ov20,0.602,0.382,0.276,0.461,0.398,0.831,0.695,44.7,438.6,2.3,0.369
yolov8m_dota,tile640_ov10,0.629,0.399,0.303,0.467,0.419,0.824,0.716,23.8,400.0,2.5,0.293
yolov8m_dota,tile640_ov20,0.624,0.405,0.307,0.465,0.439,0.827,0.711,29.1,411.2,2.4,0.399
