Model,Variant,mAP@50,mAP@[50:95],AP$_S$,AP$_M$,AP$_L$,R,F1,Tiles,Latency (ms),FPS,Dup
yolo11m_ships,native1024,0.442,0.262,0.130,0.481,0.543,0.519,0.563,1.0,27.1,36.9,0.000
yolo11m_ships,native640,0.429,0.279,0.111,0.486,0.700,0.480,0.543,1.0,12.5,80.3,0.000
yolo11m_ships,tile512_ov10,0.400,0.244,0.093,0.461,0.618,0.453,0.520,1.7,11.8,84.5,0.385
yolo11m_ships,tile512_ov20,0.400,0.244,0.092,0.461,0.618,0.453,0.519,1.7,10.6,94.0,0.385
yolo11m_ships,tile640_ov20,0.435,0.277,0.109,0.481,0.706,0.480,0.546,1.2,12.9,77.6,0.125
yolo26m_ships,native1024,0.453,0.261,0.127,0.450,0.561,0.522,0.568,1.0,27.3,36.6,0.000
yolo26m_ships,native640,0.446,0.278,0.122,0.471,0.663,0.494,0.560,1.0,12.4,80.9,0.000
yolo26m_ships,tile512_ov10,0.399,0.236,0.096,0.454,0.560,0.459,0.537,1.7,10.8,92.7,0.368
yolo26m_ships,tile512_ov20,0.399,0.236,0.096,0.454,0.560,0.459,0.537,1.7,12.0,83.5,0.367
yolo26m_ships,tile640_ov20,0.449,0.278,0.121,0.466,0.666,0.492,0.566,1.2,12.5,79.7,0.098
yolov8m_ships,native1024,0.420,0.251,0.120,0.464,0.539,0.481,0.540,1.0,24.0,41.7,0.000
yolov8m_ships,native640,0.417,0.270,0.105,0.479,0.692,0.458,0.533,1.0,12.1,82.7,0.000
yolov8m_ships,tile512_ov10,0.390,0.236,0.093,0.465,0.577,0.446,0.519,1.7,8.8,113.6,0.374
yolov8m_ships,tile512_ov20,0.390,0.236,0.093,0.465,0.577,0.446,0.519,1.7,9.1,110.4,0.374
yolov8m_ships,tile640_ov20,0.416,0.269,0.103,0.475,0.690,0.459,0.535,1.2,12.5,80.2,0.115
